hundename,geburtsjahr_hund,geschlecht_hund
"Arbataxa vom Huggerwald",2016,"w"
"Archi",2013,"m"
"Archie",2012,"m"
"Arco",2017,"m"
"Arco",2007,"m"
"Ardeshir",2011,"m"
"Are",2015,"m"
"Ares",2016,"m"
"Ares",2014,"m"
"Ares",2007,"m"
"Ares",2011,"m"
"Ares",2004,"m"
"Areta",2004,"w"
"Argo",2013,"m"
"Argo",2017,"m"
"Argo vom Buechlisberg",2012,"m"
"Arguitos",2014,"m"
"Ari",2014,"m"
"Ari",2006,"w"
"Ari",2010,"m"
"Ari",2013,"m"
"Ari",2013,"m"
"Ariel (Paperlapap's Joker)",2017,"m"
"Arilla",2015,"w"
"Arina Luna",2004,"m"
"Aris",2017,"m"
"Aristo",2010,"m"
"Arka",2006,"w"
"Arkas",2011,"m"
"Arko",2016,"m"
"Arko",2015,"m"
"Arktis (Avik of Jakutsk)",2007,"m"
"Arla",2013,"w"
"Arlette Siberiah Imi Jinsei",2014,"w"
"Arlo",2015,"m"
"Arlo",2008,"m"
"Arlo (Luc)",2014,"m"
"Armani",2013,"m"
"Armani",2005,"w"
"Armani",2014,"m"
"Armani by Clan Ferona",2016,"m"
"Arni",2012,"m"
"Arnold",2014,"m"
"Aro (Tomba v. Försterhaus)",2015,"m"
"Aron",2015,"m"
"Aron",2010,"m"
"Aron",2005,"m"
"Aron",2012,"m"
"Aron Dehiani",2013,"m"
"Aron von Paradisli",2007,"m"
"Arrow",2002,"m"
"Arrow",2012,"m"
"Artair",2013,"m"
"Artemis",2010,"w"
"Arthur",2012,"m"
"Arthur",2005,"m"
"Arthur",2009,"m"
"Arthus",2009,"m"
"Artic Aivik Dynamic Aruk",2010,"m"
"Arton",2008,"m"
"Artos",2002,"m"
"Artu",2012,"m"
"Arturo",2013,"m"
"Arturo",2017,"m"
"Artus",2015,"m"
"Artus",2008,"m"
"Artus",2005,"m"
"Artù",2016,"m"
"Arwen",2010,"w"
"Arwen",2002,"w"
"Ary",2014,"m"
"Arya",2016,"w"
"Arya",2014,"w"
"Asco",2010,"m"
"Asco (Aristorrat)",2008,"m"
"Asena",2017,"w"
"Aserdita",2017,"w"
"Ashanti",2006,"w"
"Ashbury Happy Sunshine",2012,"w"
"Asia",2002,"w"
"Asimov",2016,"m"
"Aska",2013,"w"
"Aska",2010,"w"
"Askari",2005,"m"
"Askella",2015,"w"
"Asla",2010,"w"
"Aslan",2014,"m"
"Aspel de Jabel",2016,"m"
"Asslan",2017,"m"
"Asta",2004,"w"
"Asta",2005,"w"
"Asta",2007,"w"
"Asta",2008,"w"
"Asthon",2012,"m"
"Aston",2015,"m"
"Astro",2015,"m"
"Asya",2014,"w"
"Athao",2006,"m"
"Athos",2014,"m"
"Athos",2016,"m"
"Athos Chips",2008,"m"
"Athos Porthos",2016,"m"
"Atila",2011,"w"
"Atina",2016,"w"
"Atlas Buyuni Savuti",2017,"w"
"Atos",2011,"m"
"Atreju (Anpaytoo)",2008,"m"
"Atza",2016,"m"
"Audrey",2008,"w"
"Aura-Akira",2016,"w"
"Aurel",2016,"m"
"Aurelie",2011,"w"
"Auris",2017,"m"
"Auron",2011,"m"
"Aurora vom Wyhental",2013,"w"
"Auzzy Zeus Foster",2010,"m"
"Ava",2017,"w"
"Ava",2016,"w"
"Ava",2017,"w"
"Avalon",2006,"m"
"Avalon-Joya",2014,"w"
"Avani",2012,"w"
"Avery",2013,"m"
"Awanis Ira Leila",2017,"w"
"Axel",2006,"m"
"Axel von Burg Schwärtzenberg",2011,"m"
"Ayala Diva Lucy",2017,"w"
"Ayana",2012,"w"
"Ayana",2014,"w"
"Ayca",2007,"w"
"Ayco",2011,"m"
"Ayko",2013,"m"
"Ayko v. Goliwil",2017,"m"
"Ayla",2015,"w"
"Ayla",2017,"w"
"Ayla",2007,"w"
"Ayla",2010,"w"
"Aylin",2017,"w"
"Ayra vom Teckberg",2017,"w"
"Aysha",2006,"w"
"Aysha",2006,"w"
"Aysha",2007,"w"
"Aysha (Alya)",2008,"w"
"Ayumi",2012,"w"
"Ayumi",2016,"w"
"Ayumi",2014,"w"
"Ayusha vom Maieriesli",2013,"w"
"Azan (Viserion Aglow)",2015,"m"
"Azim",2009,"m"
"Azira vom Mühlibach",2009,"w"
"Azizza",2005,"w"
"Azzurra",2012,"w"
"Azzurro",2017,"m"
"Azzurro",2009,"m"
"Azzy",2012,"w"
"B'sai",2005,"w"
"B-Nibiru",2013,"w"
"Babalu",2016,"m"
"Babar",2007,"m"
"Babe",2009,"w"
"Babett",2011,"w"
"Babou",2013,"w"
"Babu (Udo von Tannenthalbad)",2007,"m"
"Babuschka",2000,"w"
"Baby",2013,"w"
"Baby",2012,"w"
"Baby June",2012,"w"
"Bachata",2006,"w"
"Badjo",2004,"m"
"Bado",2011,"m"
"Baffy",2013,"m"
"Bafi vom  Füllern",2009,"w"
"Bagdo",2004,"m"
"Bagheera",2007,"w"
"Bagus",2016,"m"
"Bahia Joy",2016,"w"
"Baija",2011,"w"
"Baika",2013,"w"
"Baika (Bossa)",2006,"w"
"Baika fidelis anima",2015,"w"
"Baila",2013,"w"
"Baila",2004,"w"
"Bailey",2010,"w"
"Bailey",2013,"w"
"Bailey",2012,"w"
"Bailey",2008,"m"
"Bailey",2005,"w"
"Bailey",2008,"m"
"Baileys Bambi",2011,"w"
"Baily",2006,"m"
"Baira von der Biberfalle",2016,"w"
"Baja",2004,"w"
"Bajah",2017,"w"
"Bakari",2008,"m"
"Bakari Taste",2014,"w"
"Bako",2009,"m"
"Baksik",2010,"m"
"Baldo",2003,"m"
"Balduin",2014,"m"
"Baldur",2010,"m"
"Balim",2013,"w"
"Balloo",2014,"w"
"Ballou",2015,"m"
"Bally",2016,"w"
"Bally",2016,"w"
"Baloo",2010,"m"
"Baloo",2005,"m"
"Baloo",2016,"m"
"Baloo",2017,"m"
"Balosch",1998,"m"
"Balou",2009,"m"
"Balou",2013,"m"
"Balou",2005,"m"
"Balou",2017,"m"
"Balou",2013,"m"
"Balou",2012,"m"
"Balou",2008,"m"
"Balou",2006,"m"
"Balou",2010,"m"
"Balou (Dschowo's Julio)",2013,"m"
"Balou von Tay Pan",2016,"m"
"Balu",2016,"m"
"Balu",2015,"m"
"Balu",2016,"m"
"Balu",2004,"m"
"Balu",2017,"m"
"Balu",2017,"m"
"Balu",2008,"m"
"Balu",2011,"m"
"Balu",2011,"m"
"Balu",2010,"m"
"Balu",2011,"m"
"Balu",2013,"m"
"Balu",2013,"m"
"Balu",2007,"m"
"Balu",2017,"m"
"Balu",2015,"m"
"Balu",2014,"m"
"Balu",2015,"m"
"Balu",2016,"m"
"Balu (Happy Balu)",2014,"m"
"Balu (Hathi)",2013,"w"
"Balu (Orion)",2014,"m"
"Balu (Speedy)",2007,"m"
"Balu Lancelot",2015,"m"
"Baly (Newton)",2007,"m"
"Bambi",2005,"m"
"Bambi",2008,"m"
"Bambi",2017,"w"
"Bambi (Naomi)",2006,"w"
"Bamble Bee (Taiga)",2010,"w"
"Bamboo Gold",2009,"m"
"Bamby",2001,"m"
"Banana",2003,"w"
"Banca",2012,"m"
"Bandit",2005,"m"
"Bandita",2009,"w"
"Bandita",2017,"w"
"Bango (Luna)",2007,"w"
"Banjo",2003,"m"
"Barabas",2005,"m"
"Barfi",2012,"m"
"Barholomeus",2004,"m"
"Baris-Lesli",2012,"m"
"Barney",2012,"m"
"Barney",2012,"m"
"Barney",2013,"m"
"Barney",2012,"m"
"Barney",2017,"m"
"Barney (Leo vom Ammeler)",2011,"m"
"Baron",2008,"m"
"Baron",2003,"m"
"Baronessa",2012,"w"
"Barro",2015,"m"
"Barry White",2015,"m"
"Barry aus dem Dudelsack",2011,"m"
"Bartok",2012,"m"
"Barzoi",2006,"m"
"Basco",2014,"m"
"Basheera von Camelot",2012,"w"
"Basho",2005,"m"
"Basil",2009,"m"
"Basil",2016,"w"
