HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Bambi (Naomi)",2006,"w"
"Bamble Bee (Taiga)",2010,"w"
"Bamboo Gold",2009,"m"
"Banana",2003,"w"
"Banca",2012,"m"
"Bancho",2004,"m"
"Bandit",2005,"m"
"Bandita",2009,"w"
"Bango (Luna)",2007,"w"
"Banjo",2003,"m"
"Bänz (Eros)",2010,"m"
"Bär",2005,"m"
"Bär (Tumainia Charming Baer)",2012,"m"
"Barabas",2005,"m"
"Barfi",2012,"m"
"Barholomeus",2004,"m"
"Baris-Lesli",2012,"m"
"Barko",2016,"m"
"Barli",2013,"m"
"Bärli",2012,"m"
"Bärli ( Böbbelsen)",2012,"w"
"Barney",2012,"m"
"Barney",2012,"m"
"Barney",2013,"m"
"Barney",2012,"m"
"Barney (Leo vom Ammeler)",2011,"m"
"Baron",2008,"m"
"Baron",2003,"m"
"Baronessa",2012,"w"
"Barro",2015,"m"
"Barry aus dem Dudelsack",2011,"m"
"Bartok",2012,"m"
"Barzoi",2006,"m"
"Baschi",2006,"m"
"Basco",2014,"m"
"Basheera von Camelot",2012,"w"
"Bashira",2005,"w"
"Bashkim",2002,"m"
"Basho",2005,"m"
"Basil",2007,"m"
"Basil",2016,"w"
"Basil",2009,"m"
"Basil",2006,"m"
"Basil",2009,"m"
"Basil (Best)",2006,"m"
"Baska",2007,"w"
"Baslis Hermes vom Moosacher",2011,"m"
"Bass",2011,"m"
"Basti",2007,"m"
"Bastille",2002,"w"
"Batman",2013,"m"
"Bator",2009,"m"
"Bay",2006,"w"
"Bay",2016,"w"
"Bea",2009,"w"
"Bean",2016,"m"
"Beare",2007,"m"
"Bearly v. Weinhäusel",2013,"w"
"Beatle",2015,"m"
"Beau",2009,"m"
"Beauté",2012,"w"
"Bébé",2005,"m"
"Beeny",2015,"w"
"Beethoven",2007,"m"
"Beija",2013,"w"
"Bekas",2011,"m"
"Bel Ami",2005,"m"
"Belette",2006,"w"
"Belinda",2014,"w"
"Belinha",2011,"w"
"Belka",2014,"w"
"Bella",2010,"w"
"Bella",2015,"w"
"Bella",2008,"w"
"Bella",2013,"w"
"Bella",2010,"w"
"Bella",2012,"w"
"Bella",2013,"w"
"Bella",2014,"w"
"Bella",2010,"w"
"Bella",2015,"w"
"Bella",2013,"w"
"Bella",2015,"w"
"Bella",2007,"w"
"Bella",2014,"w"
"Bella",2009,"w"
"Bella",2014,"w"
"Bella",2011,"w"
"Bella",2013,"w"
"Bella",2013,"w"
"Bella",2005,"w"
"Bella",2009,"w"
"Bella",2013,"w"
"Bella",2011,"w"
"Bella",2013,"w"
"Bella",2007,"w"
"Bella",2014,"w"
"Bella (Bubu)",2014,"w"
"Bella mia",2014,"w"
"Belle",2011,"w"
"Bellino",2012,"m"
"Bello",2014,"m"
"Bello",2015,"m"
"Bello",2016,"m"
"Bello Erole",2007,"m"
"Beloved Rascy",2012,"m"
"Beltane Bakari ",2016,"w"
"Belucca",2004,"w"
"Beluga",2012,"w"
"Ben",2012,"m"
"Ben",2007,"m"
"Ben",2011,"m"
"Benfica",2014,"m"
"Bengale",2010,"w"
"Beni",2013,"w"
"Beni",2009,"m"
"Benicia",2006,"w"
"Benii Ken's Daitoshi",2014,"m"
"Benito",2012,"m"
"Beniy (Tofik)",2009,"m"
"Benja",2009,"w"
"Benjamin",2012,"m"
"Benji",2004,"m"
"Benji",2011,"m"
"Benji",2011,"m"
"Benji",2013,"m"
"Benji",2002,"m"
"Benji",2015,"m"
"Benji",2010,"m"
"Benji",2016,"m"
"Benji",2005,"m"
"Benji",2004,"m"
"Benji",1996,"m"
"Benji  (Boucuk)",2006,"m"
"Benji (Baladeva)",2008,"m"
"Benni",2009,"m"
"Benno",2012,"m"
"Benno",2009,"m"
"Benny",2005,"m"
"Benny",2004,"m"
"Benny",2012,"m"
"Benschi",2009,"w"
"Benschi",2016,"m"
"Benschi",2013,"m"
"Bentley",2014,"w"
"Bentley (Mozquito)",2008,"m"
"Bentley vom schweizer Herz",2015,"m"
"Beny",2006,"m"
"Beppo",2008,"m"
"Berdus",2004,"m"
"Berenice v. Happy Morning Star",2008,"w"
"Bero",2006,"m"
"Berri",2010,"m"
"Berry",2014,"w"
"Bert",2016,"m"
"Bertie",2012,"m"
"Bertie",2016,"m"
"Bertil",2008,"m"
"Beruska (Pez)",2012,"w"
"Beryll (Mithras)",2008,"w"
"Bess",2010,"w"
"Bessy",2008,"w"
"Beti",2011,"w"
"Betta",2012,"w"
"Betty",2004,"w"
"Betty",2012,"w"
"Betty",2012,"w"
"Betty",2011,"w"
"Betty",2010,"w"
"Beule",2005,"m"
"Beverly",2005,"w"
"Bhaki",2004,"m"
"Bhanu",2004,"m"
"Bhanu",2014,"m"
"Bianca",2012,"w"
"Bianca",2016,"w"
"Bianca",2015,"w"
"Bianca",2012,"w"
"Bianca",2007,"w"
"Biba June",2015,"w"
"Bibi",2011,"w"
"Bibi",2007,"w"
"Bica",2011,"w"
"Bicco",2016,"m"
"Bichette",2006,"w"
"Bida",2008,"w"
"Biddo",2013,"m"
"Bienchen",2003,"w"
"Biggie Smalls",2013,"w"
"Bigna",2012,"w"
"Bijou",2013,"w"
"Bijou",2004,"w"
"Bijou",2012,"w"
"Bijou",2014,"w"
"Bijoux",2013,"w"
"Bijoux",2005,"w"
"Bijoux-Ronnie",2009,"m"
"Bilbo Potter Bulini",2015,"m"
"Bilboul",2014,"m"
"Bilko",2016,"m"
"Bill (Cougard)",2007,"m"
"Billi",2005,"m"
"Billi",2013,"w"
"Billie",2013,"w"
"Billie",2012,"m"
"Billy",2005,"m"
"Billy",2003,"m"
"Billy",2016,"m"
"Billy",2011,"m"
"Billy",2006,"m"
"Billy",2014,"m"
"Billy Bär Kyuss",2011,"w"
"Billy-Lulu",2015,"m"
"Bimbo",2002,"m"
"Bina",2011,"w"
"Bingo",2007,"m"
"Bingo",2003,"m"
"Biny",2005,"m"
"Bion Blues",2013,"m"
"Biondo",2012,"m"
"Biranda",2014,"w"
"Birba",2004,"w"
"Birba",2007,"w"
"Birba (Queudolin)",2008,"w"
"Birbi",2006,"w"
"Bircan du bosquet des muguets",2015,"m"
"Birillo",2008,"m"
"Birla (Herder little Devil's)",2016,"w"
"Biscotto (Astra)",2016,"w"
"Bisou",2009,"m"
"Bisou",2010,"w"
"Bistuall Melodie d'Amour",2009,"w"
"Bize",2005,"m"
"Bizou",2012,"w"
"Bizzy",2006,"w"
"Black",2010,"w"
"Black Hamlet B For Blueberry H",2014,"m"
"Black Pearl",2016,"w"
"Black Shadow",2010,"m"
"Blacky",2016,"m"
"Blacky",2014,"m"
"Blacky",2015,"w"
"Blacky",2014,"m"
"Blacky",2011,"m"
"Blacky",2014,"m"
"Blacky",2012,"m"
"Blacky",2012,"m"
"Blacky",2014,"m"
"Blacky",2013,"m"
"Blacky",2011,"m"
"Blacky",2011,"m"
"Blacky",2007,"m"
"Blacky",2007,"m"
"Blacky",2006,"m"
"Blacky",2001,"m"
"Blacky",2001,"m"
"Blacky",2003,"m"
"Blacky",2006,"m"
"Blacky (Leda)",2013,"w"
"Blade",2005,"m"
"Blake",2012,"m"
"Blake",2007,"m"
"Blanca",2007,"w"
"Blanca",2015,"w"
"Blanco",2006,"m"
"Blanco",2011,"m"
"Blazing Sun Kylie",2012,"w"
"Blechie",2004,"w"
"Bleyd Nox",2015,"m"
"Bliss",2016,"m"
"Bliss",2001,"w"
"Blizzard",2014,"m"
"Blizzard of Water Valley",2015,"m"
"Blondie",2007,"w"
"Blubär",2016,"w"
"Blue",2016,"w"
"Blue",2012,"m"
"Blue",2013,"m"
"Blue",2008,"m"
"Blue",2001,"m"
"Blue Jewel's Art",2012,"m"
"Blue Sky",2014,"w"
"Blue (Sola of True Eyes)",2013,"w"
"Blueboy",2012,"m"
"Blues",2007,"m"
"B-Nibiru",2013,"w"
"Bo",2005,"m"
"Bo",2016,"w"
"Bo (BBY)",2012,"m"
"Boa Zeus",2014,"m"
"Bob",2009,"m"
"Bobbi",2007,"m"
"Bobbi",2009,"m"
"Bobbi",2012,"m"
"Bobby",2005,"m"
"Bobby",2002,"m"
"Bobby",2005,"m"
"Bobby",2014,"m"
"Bobby",2013,"m"
"Bobby",2006,"m"
"Bobby",2010,"m"
"Bobby",2006,"m"
"Bobby",2005,"m"
"Bobby",2014,"m"
"Bobby",2011,"m"
"Bobby",1998,"m"
"Bobby",2014,"m"
"Bobby",2012,"m"
"Bobby Levi",2014,"m"
"""Bobby"" Lord Sinclair",2009,"m"
"Bobby vom Taubertal",2015,"m"
"Bobby-Jack",2016,"m"
"Bobet",2006,"w"
"Bobi",2012,"m"
"Bobi",2016,"m"
"Bobi (Bengo)",2004,"m"
"Bobi (DJ)",2009,"m"
"Bobi (Milou)",2009,"m"
"Bobo",2007,"m"
"Bobo",2009,"m"
"Bobo",2011,"m"
"Bobo",2003,"m"
"Bobo",2002,"m"
"Bobona",2004,"w"
"Boby",2005,"m"
"Boby",2005,"m"
"Boby",2009,"m"
"Boby",2014,"m"
"Boby",2009,"m"
"Boby",2007,"m"
"Boby Prinz",2015,"m"
"Boby (Zorro)",2005,"m"
"Bodo",2002,"m"
"Body",2004,"m"
"Bogar",2012,"w"
"Bojar",2008,"m"
"Boki",2015,"m"
"Bolero",2006,"m"
"Bolero Classic",2013,"m"
"Bolimhas",2012,"m"
"Bolinha",2011,"w"
"Bolinhas",2013,"m"
"Bolinhas",2002,"m"
"Bolinhas",2007,"m"
"Bolo (Pluto)",2014,"m"
"Bomani",2009,"m"
"Bommel",2013,"m"
"Boncuk",2010,"w"
"Boncuk",2010,"w"
"Boncuk",2011,"w"
